650,Bij het pakket overdragen ging iets mis, het pakket is mogelijk niet overgedragen;
651,Het pakket is overgedragen;
652,Er zijn geen pakketten, zoeken is dus niet mogelijk;
653,Zoekterm;
654,Type pakket;
655,Zoeken;
656,Gaat u aub een pagina terug, een keuze maken is verplicht;
657,U moet aan geven waar u op wenst te zoeken;
658,Helaas is er iets misgegaan, het zoeken is op dit moment niet mogelijk;
659,Klant;
660,Details bekijken;
661,Bewerken;
662,Verwijderen;
663,Het pakket kon niet geopend worden;
664,Gebruik;
665,Limiet;
666,Domeinnamen binnen pakket;
667,Templates binnen pakket;
668,Domeinnamen totaal van gebruiker;
669,Templates totaal van gebruiker;
670,Gebruiker: ;
671,Type pakket: DNS;
672,Aanpassen;
673,Pakket aangepast;
674,Pakket aanpassen mislukt;
675,Weet u zeker dat u dit pakket inclusief alles wat hier aangekoppeld is wilt verwijderen?;
676,Verwijderen mislukt;
677,Verwijderen gelukt;
678,Streaming pakket;
679,Streaming;
680,Luisteraars binnen het pakket;
681,Totaal luisteraars van gebruiker;
682,Type pakket: Streaming;
701,Er kon niets gevonden worden om weer te geven;
702,Domeinnaam;
703,Template naam;
704,Records bewerken;
705,Records bekijken;
706,Verwijderen;
707,Template koppelen;
708,Template ontkoppelen;
709,Opties;
710,Records openen mislukt;
711,Naam;
712,Type;
713,TTL;
714,Content;
715,Wijzigingen opslaan;
716,Bent u er zeker van dat u dit record wilt verwijderen? Het verwijderen wordt pas definitief bij het opslaan.;
717,Records wijzigen mislukt;
718,Zoeken mislukt, niet mogelijk of er zijn geen resultaten;
719,Zoeken binnen domeinnamen;
720,Zoeken binnen templates;
721,Domeinnaam;
722,Template naam;
723,Verwijderen mislukt;
724,Domeinnaam verwijderd;
725,Template verwijderd;
726,Weet u zeker dat u deze domeinnaam wilt verwijderen?;
727,Wilt u op basis van een template de domeinnaam aanmaken?;
728,Nee;
729,Ja, maar niet koppelen;
730,Ja en graag koppelen;
731,Volgende stap;
732,Welke domeinnaam wilt u toevoegen?;
733,IP adres (IPv4) (optioneel);
734,IP adres (IPv6) (optioneel);
735,Selecteer hier de gewenste template;
736,Voor deze optie moet u eerst een template aanmaken;
737,Begint u aub opnieuw, de template kon niet gevonden worden of u heeft hier geen rechten voor of de template heeft geen inhoud of geen NS records of de domeinnaam is reeds aanwezig in ons systeem;
738,Domeinnaam toevoegen mislukt;
739,Template toevoegen mislukt;
740,Domeinnaam toevoegen gelukt, mocht u hiervoor rechten hebben dan ziet u hieronder een overzicht met de domeinnaam records;
741,Template toevoegen gelukt, mocht u hiervoor rechten hebben dan ziet u hieronder een overzicht met de template records;
742,Domeinnaam toevoegen;
743,Welke naam moet dit template krijgen?;
744,Een @ vult u in op de plek waar u de domeinnaam wenst.<br />Op de plek waar u het IP van de server waar de domeinnaam op staat wenst kunt u [IP4] (IPv4) of [IP6] (IPv6) invullen, een IPv4 adres ziet er als volgt uit 1.2.3.4 en een IPv6 adres bevat geen punten (maar wel meerdere dubbele punten).;
745,Template toevoegen;
746,Op dit moment is het (ont)koppelen niet mogelijk;
747,Domeinnaam om te koppelen;
748,Beschikbare templates;
749,Niet koppelen of ontkoppelen;
750,Koppeling verwerken;
751,Koppeling aangepast;
752,Oude waarde;
753,Nieuwe waarde;
754,Pas alle DNS records bij domeinnamen en templates aan;
755,Hieronder is het mogelijk om alle domeinnamen en templates binnen dit pakket in 1 keer aan te passen. Let op dat dit even kan duren en dat halverwege afbreken niet geadviseerd wordt. Bij grote accounts (5.000+ domeinnamen) wordt u geadviseerd eerst contact op te nemen voor u een globale wijziging uit gaat voeren.;
756, records aangepast;
757,Weet u zeker dat u deze domeinnaam wilt verwijderen?;
758,DNS records aangepast;
759,Sorteer op;
760,Domeinnaam (A->Z);
761,TLD (A->Z);
762,Domeinnaam (Z->A);
763,TLD (Z->A);
764,Zonder TLD (A->Z);
765,Zonder TLD (Z->A);
766,Dit is de homepage;
770,Supermaster toevoegen;
771,Supermaster overzicht;
772,Supermaster zoeken;
773,Hieronder kunt u een supermaster toevoegen, beide velden zijn verplicht.;
774,IP adres (enkel IPv4);
775,Naam (zoals bij een NS record, bijv. ns1.dnsshop.org);
776,Supermaster toevoegen;
777,Niet alle verplichte velden zijn ingevuld;
778,De supermaster is toegevoegd;
779,Er zijn geen supermasters gevonden;
780,Naamserver (A->Z);
781,Naamserver (Z->A);
782,IP (laag->hoog);
783,IP (hoog->laag);
784,IP;
785,Naamserver;
786,Domeinnamen op dit IP;
787,Opties;
788,Bewerken;
789,Verwijderen;
790,Zoeken binnen supermasters;
791,Supermaster verwijderd, let op domeinnamen die aan deze supermaster gekoppeld waren worden over enige tijd automatisch verwijderd;
792,Er ging iets mis, mocht u een link gevolgd hebben dan verzoeken wij u dit te melden;
793,Supermaster bewerken;
794,De supermaster is aangepast;
795,Ontkoppelen van supermaster;
796,Weet u zeker dat u dit wilt doen? Bewerken via de supermaster optie of checks via de supermaster optie vervallen hiermee!;
797,Weet u zeker dat u de supermaster wilt verwijderen? Gekoppelde domeinnamen worden hiermee niet verwijderd!;
798,Koppeling tussen supermaster en domeinnaam verwijderd;
799,<b>Let op</b>: als u een domeinnaam bewerkt die gekoppeld is aan een DirectAdmin machine dan gaan wijzigingen mogelijk verloren zodra de DirectAdmin machine de records vervangt;
800,DNSsec informatie;
801,Waar u een @ invult wordt deze vervangen door de domeinnaam;
900,Maximum aantal luisteraars;
901,Naam;
902,Poort;
903,Max. luisteraars;
904,Stream;
905,Stream overzicht;
906,Stream toevoegen;
907,Stream zoeken;
908,Beheer uw streams;
909,Stream naam (A-Z);
910,Stream naam (Z-A);
911,Poort (laag-hoog);
912,Poort (hoog-laag);
913,Kwaliteit (laag-hoog);
914,Kwaliteit (hoog-laag);
915,Host (laag-hoog);
916,Host (hoog-laag);
917,Host;
918,Kwaliteit;
919,Stream bewerken;
920,Stream bekijken;
921,Stream verwijderen;
